THETA2,MCF_x,MCF_y,IFP_x,IFP_y,IFD_x,IFD_y,PF_x,PF_y,D3_x,D3_y,Pa_x,Pa_y,P3_x,P3_y,THETAfp,THETAfm,THETAfd
113.000,-9.0000,-20.0000,-45.4223,-52.7783,-43.6864,-78.7203,-23.2978,-91.3815,-77.8119,-70.9455,-55.6799,-59.3191,-79.3779,-83.8256,221.986,273.828,328.160
114.000,-9.0000,-20.0000,-45.1859,-53.0391,-42.7782,-78.9274,-22.0598,-91.0415,-77.0985,-72.0635,-55.3963,-59.6533,-78.3254,-84.9561,222.397,275.313,329.685
115.000,-9.0000,-20.0000,-44.9473,-53.2985,-41.8492,-79.1133,-20.8100,-90.6611,-76.3431,-73.1826,-55.1098,-59.9860,-77.2228,-86.0889,222.809,276.843,331.239
116.000,-9.0000,-20.0000,-44.7065,-53.5566,-40.8986,-79.2762,-19.5480,-90.2376,-75.5433,-74.3018,-54.8207,-60.3171,-76.0666,-87.2236,223.222,278.422,332.824
117.000,-9.0000,-20.0000,-44.4636,-53.8132,-39.9252,-79.4140,-18.2735,-89.7681,-74.6965,-75.4201,-54.5287,-60.6465,-74.8527,-88.3592,223.635,280.053,334.442
118.000,-9.0000,-20.0000,-44.2185,-54.0684,-38.9278,-79.5244,-16.9863,-89.2490,-73.8000,-76.5360,-54.2340,-60.9742,-73.5767,-89.4946,224.049,281.741,336.097
119.000,-9.0000,-20.0000,-43.9713,-54.3221,-37.9053,-79.6046,-15.6859,-88.6765,-72.8506,-77.6483,-53.9366,-61.3001,-72.2334,-90.6288,224.463,283.492,337.791
120.000,-9.0000,-20.0000,-43.7219,-54.5744,-36.8562,-79.6515,-14.3721,-88.0459,-71.8447,-78.7550,-53.6365,-61.6244,-70.8169,-91.7602,224.878,285.311,339.527
121.000,-9.0000,-20.0000,-43.4704,-54.8251,-35.7789,-79.6614,-13.0445,-87.3520,-70.7784,-79.8543,-53.3336,-61.9468,-69.3205,-92.8869,225.293,287.207,-18.689
122.000,-9.0000,-20.0000,-43.2168,-55.0744,-34.6717,-79.6301,-11.7026,-86.5885,-69.6470,-80.9438,-53.0280,-62.2674,-67.7362,-94.0066,225.709,289.187,-16.854
123.000,-9.0000,-20.0000,-42.9610,-55.3221,-33.5325,-79.5523,-10.3461,-85.7481,-68.4454,-82.0208,-52.7197,-62.5862,-66.0550,-95.1164,226.125,291.262,-14.961
124.000,-9.0000,-20.0000,-42.7032,-55.5682,-32.3593,-79.4220,-8.9747,-84.8220,-67.1674,-83.0819,-52.4088,-62.9031,-64.2657,-96.2127,226.542,293.443,-13.003
125.000,-9.0000,-20.0000,-42.4432,-55.8127,-31.1494,-79.2317,-7.5881,-83.7995,-65.8059,-84.1231,-52.0951,-63.2181,-62.3555,-97.2907,226.960,295.746,-10.972
126.000,-9.0000,-20.0000,-42.1812,-56.0556,-29.9000,-78.9723,-6.1862,-82.6675,-64.3524,-85.1392,-51.7789,-63.5312,-60.3086,-98.3441,227.377,298.187,-8.857
127.000,-9.0000,-20.0000,-41.9171,-56.2969,-28.6081,-78.6323,-4.7693,-81.4097,-62.7969,-86.1241,-51.4599,-63.8424,-58.1057,-99.3649,227.796,300.789,-6.645
128.000,-9.0000,-20.0000,-41.6509,-56.5365,-27.2699,-78.1973,-3.3381,-80.0055,-61.1267,-87.0695,-51.1383,-64.1516,-55.7229,-100.3418,228.214,303.581,-4.321
129.000,-9.0000,-20.0000,-41.3827,-56.7745,-25.8817,-77.6484,-1.8944,-78.4283,-59.3267,-87.9648,-50.8141,-64.4587,-53.1298,-101.2596,228.634,306.598,-1.862
130.000,-9.0000,-20.0000,-41.1124,-57.0107,-24.4391,-76.9607,-0.4412,-76.6430,-57.3775,-88.7956,-50.4873,-64.7638,-50.2874,-102.0966,229.053,309.887,0.758
131.000,-9.0000,-20.0000,-40.8401,-57.2452,-22.9380,-76.1003,1.0152,-74.6019,-55.2539,-89.5420,-50.1579,-65.0669,-47.1441,-102.8213,229.474,313.515,3.579
132.000,-9.0000,-20.0000,-40.5658,-57.4780,-21.3747,-75.0194,2.4636,-72.2383,-52.9231,-90.1753,-49.8259,-65.3679,-43.6300,-103.3858,229.894,317.571,6.654
