Ruta de trazo13
X(mm), Y(mm), Z(mm)
-57.9970895124382, -20.5340592758482, 2.99999999999999
-57.9864627728886, -21.1517226230303, 2.99999999999999
-57.9678182334206, -21.7756062228654, 2.99999999999999
-57.9409176943518, -22.4055301358927, 2.99999999999999
-57.9055258624932, -23.0413056592541, 2.99999999999999
-57.8614107357966, -23.6827355196619, 2.99999999999999
-57.8083439782965, -24.329614081681, 2.99999999999999
-57.7461012843289, -24.9817275696236, 2.99999999999999
-57.6744627310631, -25.638854302281, 2.99999999999999
-57.5932131185745, -26.3007649387039, 2.99999999999999
-57.5021422967083, -26.9672227343371, 2.99999999999999
-57.4010454781594, -27.6379838060279, 2.99999999999999
-57.2897235372637, -28.3127974048838, 2.99999999999999
-57.1679832940558, -28.9914061961165, 2.99999999999999
-57.0356377833782, -29.6735465442662, 2.99999999999999
-56.8925065088274, -30.3589488029398, 2.99999999999999
-56.7384156813035, -31.0473376086311, 2.99999999999999
-56.5731984423151, -31.7384321767476, 2.99999999999999
-56.3966950718311, -32.4319466001049, 2.99999999999999
-56.2087531812032, -33.1275901473284, 2.99999999999999
-56.0092278905761, -33.825067563375, 2.99999999999999
-55.7979819920917, -34.5240793673078, 2.99999999999999
-55.5748860980138, -35.2243221509873, 2.99999999999999
-55.3398187749518, -35.9254888749019, 2.99999999999999
-55.0926666639997, -36.6272691624755, 2.99999999999999
-54.8333245875785, -37.3293495910744, 2.99999999999999
-54.5616956429377, -38.0314139806147, 2.99999999999999
-54.2776912831756, -38.7331436781295, 2.99999999999999
-53.9812313858046, -39.4342178390772, 2.99999999999999
-53.6722443098224, -40.1343137038127, 2.99999999999999
-53.3506669411728, -40.8331068703918, 2.99999999999999
-53.0164447272461, -41.5302715629248, 2.99999999999999
-52.6695317012455, -42.2254808945479, 2.99999999999999
-52.3098904963519, -42.9184071260201, 2.99999999999999
-51.9374923503167, -43.6087219193775, 2.99999999999999
-51.552317101043, -44.2960965863302, 2.99999999999999
-51.1543531733586, -44.9802023317476, 2.99999999999999
-50.7435975575825, -45.6607104919181, 2.99999999999999
-50.3200557801806, -46.3372927675333, 2.99999999999999
-49.8837418669078, -47.0096214516244, 2.99999999999999
-49.434678298783, -47.6773696523699, 2.99999999999999
-48.9728959613368, -48.3402115105632, 2.99999999999999
-48.4984340873528, -48.9978224121579, 2.99999999999999
-48.0113401935812, -49.6498791953678, 2.99999999999999
-47.5116700113264, -50.2960603534305, 2.99999999999999
-46.9994874120844, -50.9360462311983, 2.99999999999999
-46.4748643271033, -51.5695192181509, 2.99999999999999
-45.9378806625636, -52.1961639354475, 2.99999999999999
-45.3886242100045, -52.8156674182177, 2.99999999999999
-44.8271905511919, -53.4277192941515, 2.99999999999999
-44.2536829603968, -54.0320119553316, 2.99999999999999
-43.6682123005838, -54.6282407274994, 2.99999999999999
-43.0708969171105, -55.2161040330078, 2.99999999999999
-42.4618625264928, -55.7953035502997, 2.99999999999999
-41.8412421025122, -56.365544367769, 2.99999999999999
-41.209175757793, -56.9265351340144, 2.99999999999999
-40.5658106223133, -57.4779882031607, 2.99999999999999
