Ruta de trazo15
X(mm), Y(mm), Z(mm)
-97.3266287353806, -46.572537858242, 2.99999999999997
-96.8627173054127, -47.8273352373893, 2.99999999999997
-96.3704059929572, -49.09285255802, 2.99999999999997
-95.8484266136603, -50.3688065005697, 2.99999999999997
-95.2954865145943, -51.6548314354854, 2.99999999999997
-94.7102713271325, -52.9504751504971, 2.99999999999997
-94.0914478686838, -54.2551947062972, 2.99999999999997
-93.4376672071169, -55.5683524104036, 2.99999999999997
-92.7475679058212, -56.8892118981202, 2.99999999999997
-92.0197794705246, -58.2169343083764, 2.99999999999997
-91.2529260210184, -59.5505745448433, 2.99999999999997
-90.4456302114429, -60.8890776148771, 2.99999999999997
-89.5965174218113, -62.2312750433014, 2.99999999999997
-88.7042202406931, -63.5758813629799, 2.99999999999997
-87.7673832545215, -64.9214906883769, 2.99999999999997
-86.784668152704, -66.2665733838728, 2.99999999999997
-85.7547591497591, -67.609472843013, 2.99999999999997
-84.6763687158334, -68.948402396304, 2.99999999999997
-83.5482435956893, -70.2814423681045, 2.99999999999997
-82.3691710831261, -71.606537299034, 2.99999999999997
-81.1379855037379, -72.9214933502688, 2.99999999999997
-79.8535748428409, -74.2239758913169, 2.99999999999997
-78.5148874392601, -75.5115072683218, 2.99999999999997
-77.1209386476356, -76.7814647253808, 2.99999999999997
-75.6708173540409, -78.0310784326009, 2.99999999999997
-74.1636922109132, -79.2574295412014, 2.99999999999997
-72.5988174386698, -80.4574481499089, 2.99999999999997
-70.9755380224792, -81.6279110163212, 2.99999999999997
-69.2932941141824, -82.7654387896552, 2.99999999999997
-67.5516244308617, -83.8664924656199, 2.99999999999997
-65.7501684234476, -84.9273686763953, 2.99999999999997
-63.8886669702723, -85.9441933149674, 2.99999999999997
-61.9669613314981, -86.9129128535506, 2.99999999999997
-59.9849900798979, -87.8292825424984, 2.99999999999997
-57.9427837001216, -88.6888504512837, 2.99999999999997
-55.8404565207593, -89.4869360248819, 2.99999999999997
-53.6781956086186, -90.2186014509612, 2.99999999999997
-51.4562462094436, -90.8786136273293, 2.99999999999997
-49.1748932596576, -91.4613938333758, 2.99999999999997
-46.8344384143983, -91.9609512617002, 2.99999999999997
-44.4351719319974, -92.3707952323176, 2.99999999999997
-41.9773386174851, -92.6838190006644, 2.99999999999997
-39.4610968517458, -92.8921452794928, 2.99999999999997
-36.886469517053, -92.9869194308317, 2.99999999999997
-34.253285384615, -92.9580299415998, 2.99999999999997
-31.5611092984942, -92.7937258879301, 2.99999999999997
-28.8091593932325, -92.4800852188701, 2.99999999999997
-25.9962099283785, -92.0002614515155, 2.99999999999997
-23.1204798760071, -91.3333915456991, 2.99999999999997
-20.1795120633655, -90.4529680782558, 2.99999999999997
-17.170060323021, -89.3243307791649, 2.99999999999997
-14.0880357491428, -87.9006423061995, 2.99999999999997
-10.9286547168105, -86.116107142525, 2.99999999999997
-7.68719433363854, -83.873825978228, 2.99999999999997
-4.36158358280386, -81.0222869099136, 2.99999999999997
-0.960967720138423, -77.3049807580113, 2.99999999999997
2.46332259436362, -72.2361604905094, 2.99999999999997
