traza,s_norm,cad_x,cad_y,cin_x,cin_y,error_arco_mm
TIP,0.4925,-54.6683,-89.8894,-54.6693,-89.8944,0.00512
TIP,0.4975,-54.0604,-90.0952,-54.0598,-90.0955,0.00068
TIP,0.5025,-53.4498,-90.2925,-53.4487,-90.2918,0.00131
TIP,0.5075,-52.8346,-90.4752,-52.8350,-90.4799,0.00469
TIP,0.5126,-52.2194,-90.6580,-52.2194,-90.6618,0.00377
TIP,0.5176,-51.6042,-90.8408,-51.6025,-90.8390,0.00244
TIP,0.5226,-50.9841,-91.0055,-50.9831,-91.0071,0.00188
TIP,0.5276,-50.3623,-91.1644,-50.3621,-91.1695,0.00515
TIP,0.5327,-49.7405,-91.3232,-49.7399,-91.3273,0.00413
TIP,0.5377,-49.1182,-91.4800,-49.1152,-91.4748,0.00599
TIP,0.5427,-48.4906,-91.6140,-48.4895,-91.6177,0.00387
TIP,0.5477,-47.8630,-91.7479,-47.8624,-91.7545,0.00654
TIP,0.5528,-47.2353,-91.8819,-47.2333,-91.8820,0.00204
TIP,0.5578,-46.6059,-92.0067,-46.6034,-92.0051,0.00302
TIP,0.5628,-45.9733,-92.1148,-45.9719,-92.1201,0.00550
TIP,0.5678,-45.3407,-92.2229,-45.3391,-92.2277,0.00511
TIP,0.5729,-44.7081,-92.3309,-44.7056,-92.3310,0.00255
TIP,0.5779,-44.0733,-92.4238,-44.0704,-92.4234,0.00291
TIP,0.5829,-43.4367,-92.5049,-43.4346,-92.5110,0.00640
TIP,0.5879,-42.8000,-92.5860,-42.7978,-92.5917,0.00613
TIP,0.5930,-42.1634,-92.6671,-42.1599,-92.6633,0.00518
TIP,0.5980,-41.5247,-92.7285,-41.5216,-92.7307,0.00384
TIP,0.6030,-40.8852,-92.7814,-40.8823,-92.7877,0.00688
TIP,0.6080,-40.2456,-92.8344,-40.2425,-92.8390,0.00554
TIP,0.6131,-39.6060,-92.8874,-39.6022,-92.8838,0.00526
TIP,0.6181,-38.9651,-92.9178,-38.9613,-92.9188,0.00391
TIP,0.6231,-38.3238,-92.9414,-38.3202,-92.9500,0.00924
TIP,0.6281,-37.6824,-92.9651,-37.6786,-92.9696,0.00590
TIP,0.6332,-37.0411,-92.9887,-37.0369,-92.9843,0.00607
TIP,0.6382,-36.3995,-92.9892,-36.3951,-92.9910,0.00471
TIP,0.6432,-35.7577,-92.9822,-35.7533,-92.9890,0.00816
TIP,0.6482,-35.1160,-92.9752,-35.1114,-92.9825,0.00866
TIP,0.6533,-34.4743,-92.9682,-34.4698,-92.9638,0.00622
TIP,0.6583,-33.8333,-92.9403,-33.8284,-92.9418,0.00517
TIP,0.6633,-33.1927,-92.9012,-33.1874,-92.9082,0.00882
TIP,0.6683,-32.5522,-92.8621,-32.5467,-92.8693,0.00900
TIP,0.6734,-31.9116,-92.8231,-31.9066,-92.8219,0.00514
TIP,0.6784,-31.2723,-92.7690,-31.2672,-92.7660,0.00592
TIP,0.6834,-30.6347,-92.6963,-30.6283,-92.7043,0.01022
TIP,0.6884,-29.9971,-92.6237,-29.9906,-92.6313,0.01001
TIP,0.6935,-29.3594,-92.5510,-29.3533,-92.5551,0.00739
TIP,0.6985,-28.7224,-92.4737,-28.7178,-92.4650,0.00984
TIP,0.7035,-28.0898,-92.3658,-28.0826,-92.3728,0.01008
TIP,0.7085,-27.4572,-92.2579,-27.4495,-92.2667,0.01163
TIP,0.7136,-26.8245,-92.1500,-26.8170,-92.1575,0.01057
TIP,0.7186,-26.1919,-92.0421,-26.1868,-92.0359,0.00805
TIP,0.7236,-25.5644,-91.9089,-25.5575,-91.9098,0.00698
TIP,0.7286,-24.9392,-91.7639,-24.9305,-91.7724,0.01222
TIP,0.7337,-24.3140,-91.6189,-24.3048,-91.6294,0.01398
TIP,0.7387,-23.6888,-91.4740,-23.6815,-91.4760,0.00759
TIP,0.7437,-23.0646,-91.3257,-23.0599,-91.3162,0.01059
TIP,0.7487,-22.4497,-91.1417,-22.4410,-91.1462,0.00988
TIP,0.7538,-21.8349,-90.9576,-21.8239,-90.9697,0.01636
TIP,0.7588,-21.2201,-90.7736,-21.2098,-90.7828,0.01380
TIP,0.7638,-20.6053,-90.5896,-20.5977,-90.5899,0.00761
TIP,0.7688,-19.9947,-90.3931,-19.9892,-90.3856,0.00923
TIP,0.7739,-19.3938,-90.1677,-19.3824,-90.1766,0.01446
TIP,0.7789,-18.7929,-89.9424,-18.7801,-89.9547,0.01778
TIP,0.7839,-18.1920,-89.7171,-18.1789,-89.7299,0.01838
TIP,0.7889,-17.5911,-89.4917,-17.5836,-89.4899,0.00772
TIP,0.7940,-16.9955,-89.2535,-16.9883,-89.2498,0.00815
TIP,0.7990,-16.4129,-88.9844,-16.4008,-88.9912,0.01391
TIP,0.8040,-15.8303,-88.7153,-15.8133,-88.7326,0.02423
TIP,0.8090,-15.2477,-88.4462,-15.2328,-88.4590,0.01966
TIP,0.8141,-14.6651,-88.1771,-14.6541,-88.1813,0.01173
TIP,0.8191,-14.0825,-87.9078,-14.0805,-87.8935,0.01450
TIP,0.8241,-13.5237,-87.5922,-13.5116,-87.5961,0.01276
TIP,0.8291,-12.9649,-87.2766,-12.9447,-87.2952,0.02750
TIP,0.8342,-12.4061,-86.9610,-12.3868,-86.9778,0.02561
TIP,0.8392,-11.8473,-86.6454,-11.8289,-86.6604,0.02375
TIP,0.8442,-11.2886,-86.3298,-11.2805,-86.3270,0.00851
TIP,0.8492,-10.7406,-85.9969,-10.7349,-85.9890,0.00978
TIP,0.8543,-10.2128,-85.6318,-10.1932,-85.6448,0.02355
TIP,0.8593,-9.6850,-85.2667,-9.6612,-85.2856,0.03036
TIP,0.8643,-9.1572,-84.9016,-9.1293,-84.9264,0.03730
TIP,0.8693,-8.6294,-84.5366,-8.6082,-84.5518,0.02605
TIP,0.8744,-8.1016,-84.1715,-8.0916,-84.1708,0.00998
TIP,0.8794,-7.5822,-83.7954,-7.5754,-83.7893,0.00914
TIP,0.8844,-7.0950,-83.3777,-7.0761,-83.3860,0.02071
TIP,0.8894,-6.6078,-82.9600,-6.5767,-82.9828,0.03861
TIP,0.8945,-6.1206,-82.5423,-6.0815,-82.5746,0.05072
TIP,0.8995,-5.6334,-82.1245,-5.6015,-82.1484,0.03988
TIP,0.9045,-5.1462,-81.7068,-5.1215,-81.7223,0.02920
TIP,0.9095,-4.6590,-81.2891,-4.6473,-81.2900,0.01178
TIP,0.9146,-4.1924,-80.8500,-4.1891,-80.8404,0.01019
TIP,0.9196,-3.7592,-80.3765,-3.7309,-80.3909,0.03176
TIP,0.9246,-3.3260,-79.9030,-3.2763,-79.9379,0.06080
TIP,0.9296,-2.8928,-79.4295,-2.8429,-79.4645,0.06098
TIP,0.9347,-2.4597,-78.9560,-2.4095,-78.9910,0.06116
TIP,0.9397,-2.0265,-78.4825,-1.9761,-78.5175,0.06135
TIP,0.9447,-1.5933,-78.0090,-1.5656,-78.0243,0.03164
TIP,0.9497,-1.1601,-77.5355,-1.1604,-77.5265,0.00900
TIP,0.9548,-0.7662,-77.0310,-0.7552,-77.0287,0.01126
TIP,0.9598,-0.4069,-76.4993,-0.3573,-76.5253,0.05610
TIP,0.9648,-0.0476,-75.9675,0.0156,-76.0029,0.07243
TIP,0.9698,0.3116,-75.4357,0.3884,-75.4804,0.08880
TIP,0.9749,0.6709,-74.9039,0.7612,-74.9579,0.10518
TIP,0.9799,1.0302,-74.3722,1.1221,-74.4275,0.10728
TIP,0.9849,1.3894,-73.8404,1.4575,-73.8802,0.07881
TIP,0.9899,1.7487,-73.3086,1.7929,-73.3329,0.05037
TIP,0.9950,2.1080,-72.7768,2.1282,-72.7856,0.02205
TIP,1.0000,2.4673,-72.2451,2.4636,-72.2383,0.00768
