Ruta de trazo14
X(mm), Y(mm), Z(mm)
-83.1204175767274, -27.2287128870591, 2.99999999999999
-83.003440542424, -28.2334472207939, 2.99999999999999
-82.8703752156373, -29.2497386639907, 2.99999999999999
-82.7205813455253, -30.2775228527807, 2.99999999999999
-82.5534000750061, -31.3167087795945, 2.99999999999999
-82.3681540287108, -32.3671775383067, 2.99999999999999
-82.1641473786217, -33.4287811163446, 2.99999999999999
-81.9406658791552, -34.5013412207534, 2.99999999999999
-81.6969768639587, -35.5846481235317, 2.99999999999999
-81.4323291974198, -36.6784595082766, 2.99999999999999
-81.1459531742499, -37.7824992997812, 2.99999999999999
-80.8370603609092, -38.8964564562381, 2.99999999999999
-80.5048433726321, -40.0199837034562, 2.99999999999999
-80.1484755794529, -41.1526961902249, 2.99999999999999
-79.7671107340877, -42.294170042777, 2.99999999999999
-79.3598825132114, -43.4439407967327, 2.99999999999999
-78.9259039618524, -44.6015016846818, 2.99999999999999
-78.4642668286548, -45.766301755005, 2.99999999999999
-77.9740407763318, -46.9377437980692, 2.99999999999999
-77.4542724486647, -48.115182050497, 2.99999999999999
-76.9039843696963, -49.2979196494729, 2.99999999999999
-76.3221736472786, -50.4852057968916, 2.99999999999999
-75.7078104443866, -51.6762325951646, 2.99999999999999
-75.0598361760082, -52.8701315002874, 2.99999999999999
-74.3771613788673, -54.0659693317038, 2.99999999999999
-73.6586631913102, -55.2627437610258, 2.99999999999999
-72.9031823668478, -56.4593781860452, 2.99999999999999
-72.1095197300527, -57.6547158707657, 2.99999999999999
-71.2764319637829, -58.8475132050757, 2.99999999999999
-70.4026265944626, -60.0364318978592, 2.99999999999999
-69.4867560127903, -61.2200298719834, 2.99999999999999
-68.5274103327535, -62.3967505659758, 2.99999999999999
-67.5231088479351, -63.5649102671281, 2.99999999999999
-66.4722897877701, -64.7226829982071, 2.99999999999999
-65.3732980062331, -65.868082340927, 2.99999999999999
-64.2243701443106, -66.9989393966175, 2.99999999999999
-63.0236166890538, -68.1128758390443, 2.99999999999999
-61.769000197084, -69.2072706788546, 2.99999999999999
-60.4583087444732, -70.2792188979017, 2.99999999999999
-59.0891233887731, -71.3254794672673, 2.99999999999999
-57.6587780545715, -72.3424093484021, 2.99999999999999
-56.1643097395034, -73.3258787594346, 2.99999999999999
-54.602396221171, -74.2711610572384, 2.99999999999999
-52.9692774348354, -75.1727876956132, 2.99999999999999
-51.2606552425755, -76.0243543065067, 2.99999999999999
-49.4715642080284, -76.8182570392997, 2.99999999999999
-47.5962028717568, -77.5453271915008, 2.99999999999999
-45.6277103391071, -78.1943137613599, 2.99999999999999
-43.5578658408166, -78.7511320139007, 2.99999999999999
-41.3766778830511, -79.1977399058498, 2.99999999999999
-39.0718124820516, -79.5103992344776, 2.99999999999999
-36.6277838839041, -79.6568716870586, 2.99999999999999
-34.0247944402714, -79.5916661799312, 2.99999999999999
-31.2370740070729, -79.2474702453899, 2.99999999999999
-28.2306171257959, -78.5184423213819, 2.99999999999999
-24.9608314483194, -77.2241041313303, 2.99999999999999
-21.3747415424509, -75.0194495896003, 2.99999999999999
